,component_0,component_1,component_2
0.0,0.43578107175421504,1.1296482816334622e-07,5.520395754867494e-07
3.3702715090726985,1.0,1.6943012868021267e-06,3.26866908656412e-08
6.740543018145397,0.3823198779691751,5.191029561330459e-07,0.03254717813320107
10.110814527218094,0.09946594007394743,0.005715063885253745,0.10638197818447187
13.481086036290794,0.03851673891302909,0.008510454590301616,0.1886322379734449
16.85135754536349,0.022690389828080117,0.028247651241167793,0.7179690210657648
20.22162905443619,0.020725388638071923,0.04425872109354321,1.0
23.591900563508887,0.014372252442999132,0.028586102021874185,0.5008875499156813
26.962172072581588,0.010156171769932026,0.01509213914718544,0.21366773179881987
30.332443581654285,0.008546422608839975,0.012556285121941207,0.1857675510967088
33.70271509072698,0.009036901553913106,0.014899137424441381,0.18436037331816862
37.072986599799684,0.009712551209746447,0.019993335195127675,0.1897120231425684
40.44325810887238,0.010301831110221928,0.02459291757447136,0.18646802987050348
43.81352961794508,0.010128451658794169,0.03245185137714591,0.18671990068674701
47.18380112701777,0.010808536071840211,0.03719556188538575,0.26224140476523294
50.554072636090474,0.011670473755322786,0.04613439922989792,0.3797591236376627
53.924344145163175,0.011135323317483755,0.07067359149975909,0.18847656789754322
57.29461565423587,0.012924569968588715,0.11266439045213113,0.11648533893489917
60.66488716330857,0.02049153751203307,0.22748105985684436,0.00012495781448246048
64.03515867238126,0.05364001051084364,0.6221066802319359,0.0005494244682374798
67.40543018145397,0.08698303532827419,1.0,0.02332632749161911
70.77570169052667,0.0477198152670557,0.6310117151214961,0.0006105430874165518
74.14597319959937,0.01498841882095085,0.2507822449244838,8.206809471705398e-06
77.51624470867206,0.00887731420060132,0.13343062761162086,0.061059255500422495
80.88651621774476,0.0069827204986669614,0.08543954061979081,0.09977117494209152
84.25678772681746,0.005654900625411055,0.061600198611628056,0.12705076024472128
87.62705923589016,0.0052006583669649605,0.047592476439717604,0.1394673881339143
90.99733074496285,0.004831765056775484,0.039994835323955535,0.14141930554090346
94.36760225403555,0.004407483740424979,0.03427228085054431,0.1457931949866386
97.73787376310825,0.004136927190001817,0.028989151711520944,0.16381572967462554
101.10814527218095,0.004004656282205668,0.02514687805051288,0.1770768606814746
104.47841678125364,0.003747796108607191,0.021467922427991674,0.1700817333165894
107.84868829032635,0.0033895563448051915,0.018376266940247597,0.19670341414364054
111.21895979939906,0.003243202547029272,0.015239447538307332,0.193139662462311
114.58923130847174,0.003368562812285595,0.01367340126997338,0.17602686750258936
117.95950281754445,0.00326364480892472,0.012223007484987529,0.17718997583828291
121.32977432661714,0.0033005506358192234,0.010531981950977489,0.17648579751945428
124.70004583568983,0.003079558803087398,0.009683879992489425,0.1815502446145478
128.07031734476251,0.002935873380475328,0.009258884901393795,0.18625920375404686
131.44058885383524,0.0028408649339669054,0.009233870115933017,0.18660867159438546
134.81086036290793,0.002551872241887617,0.00935363172814674,0.18629504299204033
138.18113187198063,0.002572059862010394,0.009492680296071896,0.18424587822546634
141.55140338105335,0.002557229037402128,0.010386632331174232,0.1827510446463473
144.921674890126,0.002643534544828677,0.01114061119554419,0.19943282409730964
148.29194639919874,0.003933259938523777,0.013651623628376781,0.45083799900431754
151.66221790827143,0.0039061060040471033,0.015058912669064556,0.44911007105566497
155.03248941734412,0.0025322101193798728,0.01579748635155749,0.19100551592200707
158.40276092641682,0.0022331853814120005,0.01838966979503525,0.16875270621037722
161.7730324354895,0.002098676796164595,0.02174023421065432,0.1623696577324251
165.1433039445622,0.0022081999420579435,0.025011862415830536,0.15530647256901164
168.51357545363493,0.0021955494075105537,0.028932895893778825,0.1482968581492182
171.88384696270762,0.002371283881419938,0.03309547321880737,0.14111946175439838
175.25411847178032,0.0023918254261491366,0.03965580236053704,0.13214811317495911
178.624389980853,0.002592362678029292,0.049022356734756356,0.1158448695221366
181.9946614899257,0.002699892076294406,0.06650820010335404,0.0947142338796697
185.36493299899843,0.003363999103363303,0.09921776916679233,0.05501323142806031
188.7352045080711,0.004498055266373434,0.15491999191930286,0.00117631525146838
192.10547601714381,0.0042967158098053005,0.18249754678459504,1.8558788380672266e-05
195.4757475262165,0.003828057204318148,0.18015857316168393,2.2227812168165012e-05
198.8460190352892,0.0038301323470881676,0.15388390395978005,0.0020843848759884813
202.2162905443619,0.003000062038881629,0.10634203907794774,0.04633296396334585
205.5865620534346,0.0020012178558430445,0.06706782564144805,0.09592643109607477
208.95683356250728,0.0017204956725154147,0.046725043997888106,0.12349106354982613
212.32710507157998,0.0015024086779725748,0.036111348159416475,0.14639773048029595
215.6973765806527,0.0014413188467268156,0.029087765294818484,0.16712257856212742
219.0676480897254,0.0013944852890595517,0.02272087890969118,0.17928284053744667
222.43791959879812,0.0013270238953097086,0.018603545991607635,0.17985079107347454
225.80819110787078,0.0013554856851785567,0.016220921429035536,0.17790523061106933
229.17846261694348,0.0013108768324630036,0.014717448827238673,0.18197506556027945
232.5487341260162,0.0013003929671434582,0.01303102227773291,0.18667884986732536
235.9190056350889,0.0013037230202193448,0.011389501915259575,0.1916654566627513
239.28927714416156,0.0013058890961998965,0.009966336148568185,0.1952361218263249
242.65954865323428,0.0012575740214232803,0.009389392889953321,0.1970454402455788
246.02982016230698,0.0012603276415525015,0.008929816103165096,0.19981181005504448
249.40009167137967,0.0013250516511207218,0.0090946833603342,0.22219026114488466
252.7703631804524,0.0012781709233525816,0.008891358844732751,0.20837408321170728
256.14063468952503,0.0012525671464384404,0.00903875541758498,0.2015479430051165
259.51090619859775,0.001271351410149912,0.009400227858679775,0.20227720761604867
262.8811777076705,0.0012412910944892832,0.009687141482264182,0.2000006728606959
266.2514492167432,0.0012440063522599582,0.009845954353697714,0.19799356047723282
269.62172072581586,0.0012314847261994802,0.010440462969750687,0.19435746312077262
272.9919922348885,0.0012263445852060504,0.011327798142395989,0.19123968398657806
276.36226374396125,0.0011849223285343362,0.012317219502801732,0.18870623620060223
279.732535253034,0.0011690054640719908,0.013266120038199814,0.18538423431499493
283.1028067621067,0.001169960302537458,0.0148274262508622,0.18233064861899986
286.47307827117936,0.0011788436464659825,0.016835925588473043,0.17969673221790555
289.843349780252,0.0012176915000611833,0.01996207245851133,0.17135510963580577
293.21362128932475,0.0012344904960702036,0.02388198070891113,0.1635192897690725
296.58389279839747,0.0013327429637358327,0.02915008941135688,0.15381506449428262
299.95416430747014,0.0014470237129738158,0.037295612288431,0.14174129407709504
303.32443581654286,0.0016145808407391203,0.04656753750244393,0.12039872523022166
306.6947073256155,0.0017869830655148956,0.050928402259432105,0.10968682978420999
310.06497883468825,0.001660747360226422,0.05402044604710762,0.10926891473043054
313.43525034376097,0.0015949919296870832,0.0549028664221703,0.10669113580373761
316.80552185283364,0.0016381918317110048,0.05545279671213314,0.10635781038975062
320.17579336190636,0.0015489885508308942,0.05188690784744224,0.11504109284258729
323.546064870979,0.0013354428230559917,0.04189712550053124,0.13115054484465358
326.91633638005175,0.001193534068318562,0.031109000055361255,0.14963465608357332
330.2866078891244,0.001113590350756391,0.023023232123804045,0.16610059747366981
333.65687939819713,0.0010566170342586312,0.018247764216514636,0.17549239338762643
337.02715090726986,0.0010218655396298174,0.01469643113460967,0.18400021666260225
340.3974224163425,0.0010422099093112221,0.013227087886726732,0.18785662889498164
343.76769392541524,0.0010136106931163396,0.011587260270880756,0.1918546714369591
347.1379654344879,0.0011044991646679072,0.010422531522126624,0.19880137120311395
350.50823694356063,0.001124310402451582,0.01015871694018506,0.21078928201223807
353.87850845263335,0.001043155128965826,0.00948472429003638,0.20076572905520973
357.248779961706,0.001031238116560843,0.009060277230161297,0.20224700751908103
360.61905147077874,0.0010303055326399675,0.008948798375867076,0.20247090097126597
363.9893229798514,0.001012403471965685,0.008929921636318831,0.20191664733917802
367.35959448892413,0.000956862073390032,0.00874043945749171,0.21333537876875341
370.72986599799685,0.0009470458239079304,0.0086733193879496,0.2199573069267041
374.1001375070695,0.0009631903636236944,0.009012940990604361,0.2102885599975524
377.4704090161422,0.0010096577072812541,0.009357509690903919,0.20143872011904754
380.8406805252149,0.0010238842979121824,0.009696020959565784,0.20083967255901133
384.21095203428763,0.0009944510015346695,0.010064318546617565,0.19905713276892986
387.5812235433603,0.0010103559899522826,0.010514397218926847,0.1985068487511814
390.951495052433,0.0010188797338759738,0.011262785931324496,0.19546434837916726
394.3217665615057,0.0010016346777863049,0.012138154169097231,0.19317417653367963
397.6920380705784,0.0010086694369288516,0.013758176931872632,0.1899428655217472
401.0623095796511,0.001041257342654683,0.014696705324084947,0.18779995361954624
404.4325810887238,0.001055254107627018,0.015336045039718714,0.18006678684547087
407.8028525977965,0.0010962864214812465,0.015714564133750976,0.17881924292540263
411.1731241068692,0.0010677238298722233,0.01581999855823818,0.17992903320949988
414.5433956159419,0.0010667102327365974,0.015971250894668464,0.17863509457689047
417.91366712501457,0.0010547931434546013,0.01654339841710774,0.17959012791911372
421.2839386340873,0.0010297497338089376,0.017559736512208844,0.17592598594943204
424.65421014315996,0.0010667274357933263,0.018633649772080062,0.17131935909380688
428.02448165223274,0.0010475983784763788,0.01845170670789195,0.1718738504779718
431.3947531613054,0.001030882445010819,0.017026873537731236,0.17710094906946228
434.76502467037807,0.0009937527568790567,0.015041778504066508,0.1836459003190886
438.1352961794508,0.000944460359245236,0.013310285367642902,0.18742349413861784
441.50556768852346,0.0009549109426897768,0.01156775472654583,0.1912147006313977
444.87583919759624,0.0009722613966789476,0.01020273393423141,0.1961690827548918
448.2461107066689,0.0010384216834333302,0.009522289391469794,0.20831328902216925
451.61638221574157,0.0010510178456382283,0.00935156133886961,0.20931759082045737
454.9866537248143,0.000997434754126543,0.009326350467192428,0.2013078877188142
458.35692523388695,0.0009585661100620116,0.009152148694755743,0.20214038865192738
461.7271967429596,0.0009672197181469963,0.008984011732036116,0.20186005699387224
465.0974682520324,0.000974504706436781,0.008903295931567736,0.20274563494978703
468.46773976110507,0.001062327068474866,0.008903962143611688,0.20589187144166066
471.8380112701778,0.001024623558590485,0.008877785550127106,0.20394884214368475
475.20828277925045,0.0010059749731628294,0.0087963456791448,0.21530565199026214
478.5785542883231,0.0009458766857757444,0.00838094654735926,0.24691103988611193
481.9488257973959,0.0008971991991946987,0.008812474883158988,0.23364359507936508
485.31909730646856,0.0009523022231665871,0.00946889860806332,0.20142438020924833
488.6893688155413,0.0009619308460500856,0.009784653504818176,0.1988719525407079
492.05964032461395,0.0009843181767418187,0.009904860200421757,0.19866618904568173
495.4299118336866,0.0009904802292885157,0.010070009177843061,0.19718580911574093
498.80018334275934,0.0010017390533454006,0.010148113636437025,0.19834579837859292
502.170454851832,0.001015271229043423,0.010186812487555973,0.19703713591544833
505.5407263609048,0.0009981412163137468,0.009887050769818734,0.1969015103430265
508.91099786997745,0.0009659874452780787,0.009756526183730796,0.19917928575885327
512.2812693790501,0.0009721440006423797,0.009817886534087016,0.1990635687368731
515.6515408881229,0.0010064856586702651,0.009945306523972857,0.20085134696995147
519.0218123971955,0.0010257608163855396,0.01052280618427516,0.20187571101225463
522.3920839062682,0.0009548150593249195,0.010760075609451325,0.19584849072735977
525.762355415341,0.0009737295296107565,0.010906640517612509,0.19433139136201927
529.1326269244136,0.0009546449229246019,0.010827965924877569,0.19575173979479235
532.5028984334864,0.0009724913727130175,0.010153006640838293,0.19198756372431897
